user_id,recommended_skill_id,confidence_score,priority_level,estimated_completion_time,expected_salary_impact,recommendation_reason
20,145,0.6883407015580046,2,4,10.745651044813401,Leadership
46,162,0.3326539257941307,1,1,5.022645881152256,Career growth
27,76,0.32844719165935166,2,4,22.88092133706583,Skill gap
34,75,0.47305085122725427,3,1,9.279618595878132,Career growth
22,174,0.7758941332315901,3,5,7.612059882695866,Skill gap
45,113,0.887981945982008,3,11,10.937903014851504,High demand
14,132,0.6858382571860954,4,11,14.4975130580676,Career growth
1,74,0.6671715903118232,2,8,16.897658186830018,Career growth
11,58,0.5775935783161115,4,8,6.1142510178157705,Industry trend
35,58,0.4115025896110346,4,5,29.264333315684013,Career growth
2,46,0.3816643299153454,2,10,22.901576335488954,Leadership
4,94,0.8248690352424665,3,2,13.079851633108404,Skill gap
2,140,0.9399774503946371,1,6,12.967431432134934,High demand
46,77,0.6162154193065285,1,1,16.213563734211483,Leadership
18,112,0.7550175045137903,2,7,20.656120569075824,Leadership
1,108,0.9309757791078493,2,11,8.659326664724194,Leadership
43,105,0.3621784067245597,3,4,9.723245344123809,Leadership
36,88,0.8316322026521306,2,5,26.48586457083877,High demand
16,32,0.7256036502191467,2,6,11.406373097226814,Industry trend
13,96,0.7130596533926042,3,11,14.504874949379438,Career growth
27,189,0.5018528956522831,3,1,26.781796273752928,Leadership
26,78,0.771886414796597,4,9,21.578695734995563,Career growth
9,15,0.8484104508263357,2,10,13.542796983542209,Career growth
2,43,0.37787213381115103,1,4,22.09248864311552,Leadership
35,185,0.6681297873768788,2,8,5.492080384535343,Industry trend
37,119,0.36987297488131265,1,5,23.391066500284133,Career growth
24,133,0.9020760733153746,1,11,17.175401012905986,Skill gap
21,107,0.6502693386328796,1,8,25.32955368211153,Career growth
47,142,0.8574963255899225,4,1,28.86594130016171,Leadership
38,3,0.5539790899896878,3,8,28.14471373736421,High demand
46,55,0.38630397650326453,3,11,27.731626086383518,Career growth
29,63,0.3286345200261409,4,11,17.80424889834718,Industry trend
20,195,0.4942416383329391,3,4,14.003552853473451,Skill gap
